,Module Number,# Genes in Module,Fold Enrichment,Probability,P-Value,Overlap Genes
0,0,31,3.7232597623089982,0.20704972830409554,0.02948264632428943,['Psma1']
1,1,144,20.038377192982455,2.1907807642522574e-25,0.0,"['Ndufv1', 'Ndufa1', 'Ndufa4', 'Ndufa9', 'Ndufa10', 'Ndufa12', 'Ndufs1', 'Ndufs2', 'Ndufs3', 'Ndufs7', 'Sdhb', 'Uqcrc2', 'Uqcrq', 'Atp5f1a', 'Atp5f1b', 'Atp5f1c', 'Atp5pb', 'Atp5po', 'ATP8', 'Mcu', 'Trap1', 'Vdac2', 'Vdac3', 'Slc25a4', 'Slc25a5']"
2,2,133,2.603482390185991,0.08035753833465388,0.028812973964577715,"['Rps27a', 'Psmd3', 'Psmd4']"
3,3,99,5.829346092503987,0.0015053104953762656,0.00022842438168979573,"['Gnal', 'Gnas', 'Gnai1', 'Adcy5', 'Itpr1']"
4,4,92,0.0,0.4485439538732462,0.5514560461267525,[]
5,5,86,1.3421052631578947,0.356248035458737,0.17109572550436236,['Eif2s1']
6,6,83,6.953075459733672,0.0007007973729771634,8.63442584982943e-05,"['Uba1', 'Uchl1', 'Cox4i1', 'Vdac1', 'Park7']"
7,7,80,10.099342105263158,5.790948744157504e-06,4.833199213072348e-07,"['Psmc1', 'Psmc4', 'Psmc3', 'Camk2d', 'Camk2g', 'Camk2b', 'Camk2a']"
8,8,80,8.656578947368422,6.397162354636072e-05,6.274268665507066e-06,"['Snca', 'Mapt', 'Th', 'Slc6a3', 'COX2', 'Kif5c']"
9,9,78,5.919028340080971,0.004164466770985068,0.0005927513234490478,"['Prkaca', 'Psmd11', 'Psmd6', 'Psmd14']"
10,10,71,1.6256486286137881,0.3350650931637365,0.1261979260563182,['Ppif']
11,11,66,3.4976076555023923,0.09224369657323833,0.01971016984398799,"['Psmd13', 'Plcg1']"
12,12,66,17.48803827751196,2.653245180639452e-10,1.1835310509411556e-11,"['Psma6', 'Psma2', 'Psma4', 'Psma7', 'Psma5', 'Psma3', 'Psmb5', 'Psmb4', 'Hspa5', 'Map3k5']"
13,13,64,0.0,0.5726490437836935,0.42735095621630503,[]
14,14,64,0.0,0.5726490437836935,0.42735095621630503,[]
15,15,52,2.2196356275303644,0.2894335332151664,0.07476268521001805,['Septin5']
16,16,49,2.355531686358754,0.2799332947494025,0.06741878743221097,['Mapk8']
17,17,40,0.0,0.7058945210846962,0.29410547891530303,[]
18,18,39,2.9595141700404857,0.24301045779467845,0.044917834470345586,['Keap1']
19,19,39,0.0,0.7120717077349749,0.28792829226502414,[]
20,20,37,0.0,0.7245881008892012,0.2754118991107988,[]
21,21,36,3.206140350877193,0.23023482421921956,0.03883692900879876,['Txn1']
22,22,34,3.3947368421052633,0.22125117380719483,0.034974010042855386,['Uba52']
23,23,33,3.4976076555023923,0.21661548425639054,0.03310231212874204,['Psmb1']
24,24,33,0.0,0.7502822036148672,0.24971779638513247,[]
25,25,31,0.0,0.7634676253716145,0.23653237462838494,[]
26,26,27,4.2748538011695905,0.18670247733802556,0.022762527417006573,['Kif5b']
27,27,27,25.649122807017545,9.897915456341773e-08,2.593276260398625e-09,"['Tuba4a', 'Tuba1a', 'Tubb4b', 'Tubb2a', 'Tubb3', 'Tubb4a']"
28,28,25,4.616842105263158,0.17589854923165701,0.01967638622200396,['Prkacb']
29,29,22,0.0,0.8257173431005895,0.17428265689941025,[]
30,30,21,0.0,0.8329388066305822,0.1670611933694165,[]
31,31,19,0.0,0.8475710312012926,0.1524289687987066,[]
32,32,19,0.0,0.8475710312012926,0.1524289687987066,[]
33,33,19,0.0,0.8475710312012926,0.1524289687987066,[]
34,34,16,0.0,0.8700008741064652,0.12999912589353424,[]
35,35,14,8.24436090225564,0.10836501478082536,0.006353340569053234,['Tubb2b']
36,36,13,8.878542510121457,0.10150112036060291,0.005476876790645346,['Tubb5']
37,37,12,9.618421052631579,0.09450940548992563,0.004660813172045475,['Uqcrfs1']
38,38,11,0.0,0.9087055651288557,0.09129443487114397,[]
39,39,10,0.0,0.9166499442889258,0.08335005571107446,[]
40,40,10,0.0,0.9166499442889258,0.08335005571107446,[]
41,41,8,0.0,0.9327468745331378,0.06725312546686202,[]
42,42,8,72.13815789473685,2.5666059034961103e-09,1.1032397218002643e-11,"['Psmc2', 'Psmc6', 'Psmc5', 'Psmd2', 'Psmd12']"
43,43,6,0.0,0.9491253954119805,0.05087460458801907,[]
44,44,5,0.0,0.9574217824902752,0.04257821750972435,[]
45,45,5,0.0,0.9574217824902752,0.04257821750972435,[]
